timestamp_seconds,frame_idx,face_id,x,y,w,h
60.000000,1800,1,303,110,121,121
60.033333,1801,1,300,108,124,124
60.066667,1802,1,301,107,124,124
60.100000,1803,1,301,107,124,124
60.133333,1804,1,298,108,125,125
60.166667,1805,1,298,107,126,126
60.200000,1806,1,298,107,127,127
60.233333,1807,1,297,107,127,127
60.266667,1808,1,297,107,127,127
60.300000,1809,1,297,107,126,126
60.333333,1810,1,298,107,125,125
60.366667,1811,1,298,108,124,124
60.400000,1812,1,298,108,125,125
60.433333,1813,1,298,107,126,126
60.466667,1814,1,298,108,125,125
60.500000,1815,1,297,108,126,126
60.533333,1816,1,298,107,126,126
60.566667,1817,1,298,108,125,125
60.600000,1818,1,297,107,126,126
60.633333,1819,1,297,107,125,125
60.666667,1820,1,298,108,124,124
60.700000,1821,1,299,108,123,123
60.733333,1822,1,298,105,125,125
60.766667,1823,1,296,104,126,126
60.800000,1824,1,296,106,124,124
60.833333,1825,1,296,107,123,123
60.866667,1826,1,295,107,123,123
60.900000,1827,1,295,109,121,121
60.933333,1828,1,295,110,121,121
60.966667,1829,1,294,108,123,123
61.000000,1830,1,296,110,121,121
61.033333,1831,1,291,110,124,124
61.066667,1832,1,290,110,128,128
61.100000,1833,1,289,110,128,128
61.133333,1834,1,291,113,125,125
61.166667,1835,1,292,114,124,124
61.200000,1836,1,291,114,125,125
61.233333,1837,1,290,113,125,125
61.266667,1838,1,290,113,126,126
61.300000,1839,1,290,112,126,126
61.333333,1840,1,290,113,125,125
61.366667,1841,1,291,114,124,124
61.400000,1842,1,291,114,124,124
61.433333,1843,1,291,112,124,124
61.466667,1844,1,292,112,123,123
61.500000,1845,1,293,111,122,122
61.533333,1846,1,294,111,120,120
61.566667,1847,1,295,112,119,119
61.600000,1848,1,298,113,115,115
61.633333,1849,1,296,108,118,118
61.666667,1850,1,295,105,123,123
61.700000,1851,1,297,105,120,120
61.733333,1852,1,298,105,120,120
61.766667,1853,1,297,101,124,124
61.800000,1854,1,298,100,122,122
61.833333,1855,1,299,101,123,123
61.866667,1856,1,304,103,120,120
61.900000,1857,1,306,103,118,118
61.933333,1858,1,305,101,120,120
61.966667,1859,1,304,99,122,122
62.000000,1860,1,308,93,120,120
62.033333,1861,1,308,94,119,119
62.066667,1862,1,310,92,119,119
62.100000,1863,1,313,95,114,114
62.133333,1864,1,315,95,113,113
62.166667,1865,1,314,94,113,113
62.200000,1866,1,313,93,115,115
62.233333,1867,1,313,92,116,116
62.266667,1868,1,315,93,115,115
62.300000,1869,1,316,93,116,116
62.333333,1870,1,316,96,115,115
62.366667,1871,1,315,97,116,116
62.400000,1872,1,315,99,115,115
62.433333,1873,1,316,101,113,113
62.466667,1874,1,315,98,117,117
62.500000,1875,1,317,101,114,114
62.533333,1876,1,321,104,110,110
62.566667,1877,1,323,105,108,108
62.600000,1878,1,324,104,108,108
62.633333,1879,1,325,105,107,107
62.666667,1880,1,324,103,109,109
62.700000,1881,1,326,103,109,109
62.733333,1882,1,326,102,110,110
62.766667,1883,1,325,100,113,113
62.800000,1884,1,326,99,114,114
62.833333,1885,1,325,99,115,115
62.866667,1886,1,326,98,116,116
62.900000,1887,1,326,97,116,116
62.933333,1888,1,326,98,115,115
62.966667,1889,1,327,100,113,113
63.000000,1890,1,327,100,113,113
63.033333,1891,1,328,99,112,112
63.066667,1892,1,326,99,114,114
63.100000,1893,1,326,99,115,115
63.133333,1894,1,326,96,119,119
63.166667,1895,1,328,95,116,116
63.200000,1896,1,328,95,116,116
63.233333,1897,1,324,91,122,122
63.266667,1898,1,328,94,115,115
63.300000,1899,1,330,95,114,114
63.333333,1900,1,328,94,115,115
63.366667,1901,1,329,93,114,114
63.400000,1902,1,329,93,113,113
63.433333,1903,1,330,93,113,113
63.466667,1904,1,330,92,112,112
63.500000,1905,1,330,92,112,112
63.533333,1906,1,330,92,112,112
63.566667,1907,1,331,92,112,112
63.600000,1908,1,331,93,111,111
63.633333,1909,1,331,93,111,111
63.666667,1910,1,331,93,112,112
63.700000,1911,1,330,93,112,112
63.733333,1912,1,330,93,112,112
63.766667,1913,1,329,93,112,112
63.800000,1914,1,330,93,113,113
63.833333,1915,1,330,92,113,113
63.866667,1916,1,330,92,112,112
63.900000,1917,1,329,92,114,114
63.933333,1918,1,330,92,115,115
63.966667,1919,1,332,92,114,114
64.000000,1920,1,333,95,112,112
64.033333,1921,1,334,95,112,112
64.066667,1922,1,333,96,113,113
64.100000,1923,1,333,96,115,115
64.133333,1924,1,332,95,116,116
64.166667,1925,1,332,95,116,116
64.200000,1926,1,332,95,116,116
64.233333,1927,1,333,95,116,116
64.266667,1928,1,333,95,116,116
64.300000,1929,1,333,96,115,115
64.333333,1930,1,333,96,115,115
64.366667,1931,1,334,96,114,114
64.400000,1932,1,334,96,115,115
64.433333,1933,1,334,96,115,115
64.466667,1934,1,334,96,115,115
64.500000,1935,1,332,97,116,116
64.533333,1936,1,331,97,117,117
64.566667,1937,1,330,96,118,118
64.600000,1938,1,328,96,119,119
64.633333,1939,1,327,97,119,119
64.666667,1940,1,327,98,117,117
64.700000,1941,1,327,98,116,116
64.733333,1942,1,328,100,114,114
64.766667,1943,1,327,100,113,113
64.800000,1944,1,327,99,114,114
64.833333,1945,1,328,99,113,113
64.866667,1946,1,327,98,115,115
64.900000,1947,1,327,97,115,115
64.933333,1948,1,326,96,115,115
64.966667,1949,1,325,96,115,115
65.000000,1950,1,325,95,115,115
65.033333,1951,1,324,93,116,116
65.066667,1952,1,324,94,115,115
65.100000,1953,1,325,96,111,111
65.133333,1954,1,326,98,107,107
65.166667,1955,1,324,97,108,108
65.200000,1956,1,322,96,110,110
65.233333,1957,1,322,97,108,108
65.266667,1958,1,322,97,108,108
65.300000,1959,1,321,97,107,107
65.333333,1960,1,318,95,108,108
65.366667,1961,1,313,92,113,113
65.400000,1962,1,313,92,112,112
65.433333,1963,1,313,94,110,110
65.466667,1964,1,309,92,111,111
65.500000,1965,1,310,93,107,107
65.533333,1966,1,309,96,104,104
65.566667,1967,1,307,95,107,107
65.600000,1968,1,308,96,106,106
65.633333,1969,1,305,95,109,109
65.666667,1970,1,305,95,109,109
65.700000,1971,1,301,94,111,111
65.733333,1972,1,300,94,111,111
65.766667,1973,1,296,93,115,115
65.800000,1974,1,294,92,117,117
65.833333,1975,1,294,94,117,117
65.866667,1976,1,293,93,119,119
65.900000,1977,1,294,94,118,118
65.933333,1978,1,295,96,114,114
65.966667,1979,1,295,96,113,113
66.000000,1980,1,294,96,112,112
66.033333,1981,1,294,96,110,110
66.066667,1982,1,295,97,108,108
66.100000,1983,1,295,96,108,108
66.133333,1984,1,295,95,110,110
66.166667,1985,1,293,93,114,114
66.200000,1986,1,292,93,113,113
66.233333,1987,1,292,94,111,111
66.266667,1988,1,292,95,111,111
66.300000,1989,1,292,95,110,110
66.333333,1990,1,291,94,110,110
66.366667,1991,1,291,94,111,111
66.400000,1992,1,290,94,109,109
66.433333,1993,1,290,94,109,109
66.466667,1994,1,291,94,109,109
66.500000,1995,1,292,95,109,109
66.533333,1996,1,292,94,109,109
66.566667,1997,1,292,95,108,108
66.600000,1998,1,293,94,108,108
66.633333,1999,1,294,94,107,107
66.666667,2000,1,295,94,106,106
66.700000,2001,1,296,94,106,106
66.733333,2002,1,296,94,106,106
66.766667,2003,1,296,94,103,103
66.800000,2004,1,296,93,104,104
66.833333,2005,1,296,90,103,103
66.866667,2006,1,298,91,101,101
66.900000,2007,1,296,89,106,106
66.933333,2008,1,299,89,106,106
66.966667,2009,1,302,90,104,104
67.000000,2010,1,304,92,101,101
67.033333,2011,1,307,91,100,100
67.066667,2012,1,306,90,102,102
67.100000,2013,1,309,90,99,99
67.133333,2014,1,311,90,98,98
67.166667,2015,1,313,89,100,100
67.200000,2016,1,316,90,99,99
67.233333,2017,1,316,90,98,98
67.266667,2018,1,320,92,95,95
67.300000,2019,1,321,93,94,94
67.333333,2020,1,320,92,96,96
67.366667,2021,1,319,92,98,98
67.400000,2022,1,318,91,100,100
67.433333,2023,1,317,90,104,104
67.466667,2024,1,319,92,100,100
67.500000,2025,1,321,93,99,99
67.533333,2026,1,321,94,100,100
67.566667,2027,1,320,93,102,102
67.600000,2028,1,320,94,102,102
67.633333,2029,1,324,94,102,102
67.666667,2030,1,323,94,102,102
67.700000,2031,1,327,97,102,102
67.733333,2032,1,328,97,102,102
67.766667,2033,1,327,98,101,101
67.800000,2034,1,328,99,100,100
67.833333,2035,1,331,100,102,102
67.866667,2036,1,332,102,101,101
67.900000,2037,1,333,102,100,100
67.933333,2038,1,329,102,103,103
67.966667,2039,1,329,103,102,102
68.000000,2040,1,328,105,100,100
68.033333,2041,1,328,105,100,100
68.066667,2042,1,328,104,101,101
68.100000,2043,1,328,104,101,101
68.133333,2044,1,327,105,100,100
68.166667,2045,1,327,106,99,99
68.200000,2046,1,327,107,100,100
68.233333,2047,1,325,107,103,103
68.266667,2048,1,323,106,103,103
68.300000,2049,1,322,106,104,104
68.333333,2050,1,322,107,102,102
68.366667,2051,1,323,108,100,100
68.400000,2052,1,324,110,98,98
68.433333,2053,1,324,110,98,98
68.466667,2054,1,324,110,98,98
68.500000,2055,1,323,109,99,99
68.533333,2056,1,321,108,101,101
68.566667,2057,1,319,109,103,103
68.600000,2058,1,315,108,105,105
68.633333,2059,1,316,105,107,107
68.666667,2060,1,313,105,107,107
68.700000,2061,1,312,105,107,107
68.733333,2062,1,312,102,112,112
68.766667,2063,1,311,101,114,114
68.800000,2064,1,309,101,114,114
68.833333,2065,1,308,101,115,115
68.866667,2066,1,306,102,116,116
68.900000,2067,1,306,102,115,115
68.933333,2068,1,307,102,114,114
68.966667,2069,1,307,103,113,113
69.000000,2070,1,307,104,112,112
69.033333,2071,1,306,104,113,113
69.066667,2072,1,306,103,114,114
69.100000,2073,1,306,104,113,113
69.133333,2074,1,307,104,112,112
69.166667,2075,1,306,103,112,112
69.200000,2076,1,306,100,115,115
69.233333,2077,1,306,100,115,115
69.266667,2078,1,307,100,115,115
69.300000,2079,1,307,99,115,115
69.333333,2080,1,308,98,114,114
69.366667,2081,1,309,99,113,113
69.400000,2082,1,309,98,113,113
69.433333,2083,1,312,98,111,111
69.466667,2084,1,313,99,110,110
69.500000,2085,1,314,100,110,110
69.533333,2086,1,314,100,110,110
69.566667,2087,1,314,101,108,108
69.600000,2088,1,314,101,108,108
69.633333,2089,1,315,101,108,108
69.666667,2090,1,315,102,108,108
69.700000,2091,1,314,102,109,109
69.733333,2092,1,314,102,107,107
69.766667,2093,1,315,102,106,106
69.800000,2094,1,315,102,106,106
69.833333,2095,1,315,103,105,105
69.866667,2096,1,314,102,106,106
69.900000,2097,1,310,99,110,110
69.933333,2098,1,309,98,111,111
69.966667,2099,1,309,97,111,111
70.000000,2100,1,308,97,112,112
70.033333,2101,1,307,97,114,114
70.066667,2102,1,307,96,115,115
70.100000,2103,1,306,96,115,115
70.133333,2104,1,305,95,115,115
70.166667,2105,1,305,96,115,115
70.200000,2106,1,305,97,113,113
70.233333,2107,1,306,97,113,113
70.266667,2108,1,307,97,113,113
70.300000,2109,1,307,96,112,112
70.333333,2110,1,307,97,112,112
70.366667,2111,1,308,97,111,111
70.400000,2112,1,308,97,111,111
70.433333,2113,1,311,98,109,109
70.466667,2114,1,311,98,109,109
70.500000,2115,1,310,98,110,110
70.533333,2116,1,313,99,108,108
70.566667,2117,1,312,100,109,109
70.600000,2118,1,311,101,111,111
70.633333,2119,1,311,102,111,111
70.666667,2120,1,313,103,109,109
70.700000,2121,1,313,102,108,108
70.733333,2122,1,312,103,108,108
70.766667,2123,1,309,102,110,110
70.800000,2124,1,307,101,112,112
70.833333,2125,1,308,101,112,112
70.866667,2126,1,307,100,113,113
70.900000,2127,1,306,99,112,112
70.933333,2128,1,305,99,112,112
70.966667,2129,1,307,99,111,111
71.000000,2130,1,307,98,111,111
71.033333,2131,1,306,98,111,111
71.066667,2132,1,305,97,111,111
