timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score,p_neutral,p_happiness,p_surprise,p_sadness,p_anger,p_disgust,p_fear,p_contempt
60.000000,1800,1,303,110,121,121,neutral,0.9835,0.9835,0.0014,0.0003,0.0109,0.0010,0.0001,0.0000,0.0027
60.033333,1801,1,300,108,124,124,neutral,0.9852,0.9852,0.0013,0.0007,0.0082,0.0015,0.0002,0.0000,0.0028
60.066667,1802,1,301,107,124,124,neutral,0.9771,0.9771,0.0010,0.0039,0.0132,0.0017,0.0002,0.0002,0.0027
60.100000,1803,1,301,107,124,124,neutral,0.9764,0.9764,0.0010,0.0042,0.0136,0.0018,0.0002,0.0002,0.0027
60.133333,1804,1,298,108,125,125,neutral,0.9659,0.9659,0.0010,0.0053,0.0209,0.0030,0.0004,0.0004,0.0032
60.166667,1805,1,298,107,126,126,neutral,0.9666,0.9666,0.0017,0.0108,0.0144,0.0025,0.0004,0.0005,0.0032
60.200000,1806,1,298,107,127,127,neutral,0.9583,0.9583,0.0017,0.0169,0.0154,0.0030,0.0005,0.0008,0.0034
60.233333,1807,1,297,107,127,127,neutral,0.9645,0.9645,0.0018,0.0092,0.0173,0.0024,0.0004,0.0006,0.0038
60.266667,1808,1,297,107,127,127,neutral,0.9711,0.9711,0.0016,0.0037,0.0178,0.0017,0.0003,0.0003,0.0037
60.300000,1809,1,297,107,126,126,neutral,0.9714,0.9714,0.0022,0.0027,0.0180,0.0014,0.0003,0.0002,0.0038
60.333333,1810,1,298,107,125,125,neutral,0.9748,0.9748,0.0015,0.0050,0.0138,0.0014,0.0002,0.0003,0.0030
60.366667,1811,1,298,108,124,124,neutral,0.9791,0.9791,0.0011,0.0022,0.0121,0.0020,0.0002,0.0001,0.0031
60.400000,1812,1,298,108,125,125,neutral,0.9823,0.9823,0.0012,0.0018,0.0100,0.0015,0.0002,0.0001,0.0029
60.433333,1813,1,298,107,126,126,neutral,0.9799,0.9799,0.0012,0.0024,0.0121,0.0012,0.0002,0.0001,0.0029
60.466667,1814,1,298,108,125,125,neutral,0.9840,0.9840,0.0008,0.0013,0.0096,0.0014,0.0002,0.0001,0.0026
60.500000,1815,1,297,108,126,126,neutral,0.9807,0.9807,0.0007,0.0012,0.0120,0.0019,0.0002,0.0001,0.0032
60.533333,1816,1,298,107,126,126,neutral,0.9815,0.9815,0.0010,0.0015,0.0119,0.0011,0.0001,0.0001,0.0027
60.566667,1817,1,298,108,125,125,neutral,0.9847,0.9847,0.0007,0.0007,0.0100,0.0012,0.0001,0.0000,0.0025
60.600000,1818,1,297,107,126,126,neutral,0.9809,0.9809,0.0011,0.0016,0.0117,0.0014,0.0002,0.0001,0.0031
60.633333,1819,1,297,107,125,125,neutral,0.9793,0.9793,0.0011,0.0010,0.0140,0.0014,0.0002,0.0001,0.0031
60.666667,1820,1,298,108,124,124,neutral,0.9840,0.9840,0.0007,0.0006,0.0114,0.0009,0.0001,0.0000,0.0024
60.700000,1821,1,299,108,123,123,neutral,0.9854,0.9854,0.0010,0.0007,0.0092,0.0010,0.0001,0.0000,0.0025
60.733333,1822,1,298,105,125,125,neutral,0.9703,0.9703,0.0011,0.0029,0.0200,0.0017,0.0003,0.0002,0.0035
60.766667,1823,1,296,104,126,126,neutral,0.9656,0.9656,0.0014,0.0037,0.0235,0.0016,0.0003,0.0003,0.0035
60.800000,1824,1,296,106,124,124,neutral,0.9482,0.9482,0.0012,0.0016,0.0435,0.0014,0.0003,0.0002,0.0036
60.833333,1825,1,296,107,123,123,neutral,0.9384,0.9384,0.0013,0.0017,0.0529,0.0015,0.0003,0.0003,0.0036
60.866667,1826,1,295,107,123,123,neutral,0.9255,0.9255,0.0010,0.0014,0.0662,0.0017,0.0003,0.0002,0.0036
60.900000,1827,1,295,109,121,121,neutral,0.9380,0.9380,0.0008,0.0003,0.0554,0.0012,0.0002,0.0001,0.0041
60.933333,1828,1,295,110,121,121,neutral,0.9304,0.9304,0.0005,0.0002,0.0633,0.0014,0.0002,0.0001,0.0039
60.966667,1829,1,294,108,123,123,neutral,0.8901,0.8901,0.0006,0.0004,0.1020,0.0019,0.0004,0.0001,0.0046
61.000000,1830,1,296,110,121,121,neutral,0.8794,0.8794,0.0015,0.0006,0.1083,0.0022,0.0006,0.0002,0.0072
61.033333,1831,1,291,110,124,124,neutral,0.8739,0.8739,0.0009,0.0012,0.1117,0.0037,0.0009,0.0005,0.0072
61.066667,1832,1,290,110,128,128,neutral,0.8103,0.8103,0.0018,0.0035,0.1466,0.0207,0.0045,0.0015,0.0111
61.100000,1833,1,289,110,128,128,neutral,0.8711,0.8711,0.0014,0.0017,0.1113,0.0057,0.0012,0.0006,0.0071
61.133333,1834,1,291,113,125,125,neutral,0.8307,0.8307,0.0032,0.0053,0.1344,0.0093,0.0030,0.0023,0.0118
61.166667,1835,1,292,114,124,124,neutral,0.8752,0.8752,0.0039,0.0020,0.1010,0.0055,0.0016,0.0008,0.0100
61.200000,1836,1,291,114,125,125,neutral,0.8752,0.8752,0.0030,0.0030,0.0976,0.0085,0.0021,0.0010,0.0096
61.233333,1837,1,290,113,125,125,neutral,0.8661,0.8661,0.0012,0.0008,0.1195,0.0046,0.0010,0.0003,0.0065
61.266667,1838,1,290,113,126,126,neutral,0.8999,0.8999,0.0008,0.0008,0.0830,0.0070,0.0011,0.0003,0.0071
61.300000,1839,1,290,112,126,126,neutral,0.9220,0.9220,0.0003,0.0003,0.0696,0.0029,0.0004,0.0001,0.0045
61.333333,1840,1,290,113,125,125,neutral,0.8953,0.8953,0.0004,0.0004,0.0924,0.0049,0.0007,0.0002,0.0058
61.366667,1841,1,291,114,124,124,neutral,0.9423,0.9423,0.0007,0.0003,0.0484,0.0031,0.0004,0.0001,0.0047
61.400000,1842,1,291,114,124,124,neutral,0.9406,0.9406,0.0006,0.0002,0.0509,0.0027,0.0004,0.0001,0.0046
61.433333,1843,1,291,112,124,124,neutral,0.9174,0.9174,0.0003,0.0003,0.0732,0.0034,0.0005,0.0001,0.0049
61.466667,1844,1,292,112,123,123,neutral,0.9259,0.9259,0.0006,0.0004,0.0633,0.0038,0.0006,0.0001,0.0054
61.500000,1845,1,293,111,122,122,neutral,0.9141,0.9141,0.0007,0.0004,0.0736,0.0035,0.0006,0.0001,0.0069
61.533333,1846,1,294,111,120,120,neutral,0.9415,0.9415,0.0010,0.0004,0.0469,0.0032,0.0005,0.0001,0.0064
61.566667,1847,1,295,112,119,119,neutral,0.9343,0.9343,0.0007,0.0002,0.0574,0.0018,0.0003,0.0001,0.0053
61.600000,1848,1,298,113,115,115,neutral,0.9621,0.9621,0.0010,0.0002,0.0311,0.0012,0.0002,0.0000,0.0042
61.633333,1849,1,296,108,118,118,neutral,0.9705,0.9705,0.0007,0.0002,0.0241,0.0008,0.0001,0.0000,0.0036
61.666667,1850,1,295,105,123,123,neutral,0.9662,0.9662,0.0025,0.0010,0.0234,0.0007,0.0002,0.0002,0.0057
