timestamp_seconds,frame_idx,face_id,x,y,w,h,emotion,emotion_score
60.000000,0,1,303,110,121,121,neutral,0.9784
60.033333,1,1,300,108,124,124,neutral,0.9756
60.066667,2,1,301,107,124,124,neutral,0.9672
60.100000,3,1,301,107,124,124,neutral,0.9662
60.133333,4,1,298,108,125,125,neutral,0.9656
60.166667,5,1,298,107,126,126,neutral,0.9633
60.200000,6,1,298,107,127,127,neutral,0.9663
60.233333,7,1,297,107,127,127,neutral,0.9622
60.266667,8,1,297,107,127,127,neutral,0.9572
60.300000,9,1,297,107,126,126,neutral,0.9672
60.333333,10,1,298,107,125,125,neutral,0.9692
60.366667,11,1,298,108,124,124,neutral,0.9762
60.400000,12,1,298,108,125,125,neutral,0.9703
60.433333,13,1,298,107,126,126,neutral,0.9707
60.466667,14,1,298,108,125,125,neutral,0.9685
60.500000,15,1,297,108,126,126,neutral,0.9688
60.533333,16,1,298,107,126,126,neutral,0.9740
60.566667,17,1,298,108,125,125,neutral,0.9707
60.600000,18,1,297,107,126,126,neutral,0.9712
60.633333,19,1,297,107,125,125,neutral,0.9742
60.666667,20,1,298,108,124,124,neutral,0.9680
60.700000,21,1,299,108,123,123,neutral,0.9765
60.733333,22,1,298,105,125,125,neutral,0.9648
60.766667,23,1,296,104,126,126,neutral,0.9584
60.800000,24,1,296,106,124,124,neutral,0.9372
60.833333,25,1,296,107,123,123,neutral,0.9347
60.866667,26,1,295,107,123,123,neutral,0.9184
60.900000,27,1,295,109,121,121,neutral,0.8916
60.933333,28,1,295,110,121,121,neutral,0.8776
60.966667,29,1,294,108,123,123,neutral,0.8630
61.000000,30,1,296,110,121,121,neutral,0.9040
61.033333,31,1,291,110,124,124,neutral,0.8143
61.066667,32,1,290,110,128,128,neutral,0.8545
61.100000,33,1,289,110,128,128,neutral,0.8778
61.133333,34,1,291,113,125,125,neutral,0.8921
61.166667,35,1,292,114,124,124,neutral,0.8845
61.200000,36,1,291,114,125,125,neutral,0.8819
61.233333,37,1,290,113,125,125,neutral,0.9166
61.266667,38,1,290,113,126,126,neutral,0.9120
61.300000,39,1,290,112,126,126,neutral,0.9259
61.333333,40,1,290,113,125,125,neutral,0.9068
61.366667,41,1,291,114,124,124,neutral,0.9154
61.400000,42,1,291,114,124,124,neutral,0.9224
61.433333,43,1,291,112,124,124,neutral,0.9027
61.466667,44,1,292,112,123,123,neutral,0.8994
61.500000,45,1,293,111,122,122,neutral,0.9335
61.533333,46,1,294,111,120,120,neutral,0.9293
61.566667,47,1,295,112,119,119,neutral,0.9359
61.600000,48,1,298,113,115,115,neutral,0.9577
61.633333,49,1,296,108,118,118,neutral,0.9585
61.666667,50,1,295,105,123,123,neutral,0.9694
61.700000,51,1,297,105,120,120,neutral,0.9695
61.733333,52,1,298,105,120,120,neutral,0.9663
61.766667,53,1,297,101,124,124,neutral,0.9568
61.800000,54,1,298,100,122,122,neutral,0.9535
61.833333,55,1,299,101,123,123,neutral,0.9571
61.866667,56,1,304,103,120,120,neutral,0.9306
61.900000,57,1,306,103,118,118,neutral,0.9697
61.933333,58,1,305,101,120,120,neutral,0.9517
61.966667,59,1,304,99,122,122,neutral,0.9370
62.000000,60,1,308,93,120,120,neutral,0.9495
62.033333,61,1,308,94,119,119,neutral,0.9331
62.066667,62,1,310,92,119,119,neutral,0.9686
62.100000,63,1,313,95,114,114,neutral,0.9677
62.133333,64,1,315,95,113,113,neutral,0.9759
62.166667,65,1,314,94,113,113,neutral,0.9843
62.200000,66,1,313,93,115,115,neutral,0.9865
62.233333,67,1,313,92,116,116,neutral,0.9797
62.266667,68,1,315,93,115,115,neutral,0.9897
62.300000,69,1,316,93,116,116,neutral,0.9703
62.333333,70,1,316,96,115,115,neutral,0.9877
62.366667,71,1,315,97,116,116,neutral,0.9649
62.400000,72,1,315,99,115,115,neutral,0.9736
62.433333,73,1,316,101,113,113,neutral,0.9851
62.466667,74,1,315,98,117,117,neutral,0.9846
62.500000,75,1,317,101,114,114,neutral,0.9820
62.533333,76,1,321,104,110,110,neutral,0.9914
62.566667,77,1,323,105,108,108,neutral,0.9917
62.600000,78,1,324,104,108,108,neutral,0.9887
62.633333,79,1,325,105,107,107,neutral,0.9893
62.666667,80,1,324,103,109,109,neutral,0.9882
62.700000,81,1,326,103,109,109,neutral,0.9879
62.733333,82,1,326,102,110,110,neutral,0.9845
62.766667,83,1,325,100,113,113,neutral,0.9766
62.800000,84,1,326,99,114,114,neutral,0.9814
62.833333,85,1,325,99,115,115,neutral,0.9729
62.866667,86,1,326,98,116,116,neutral,0.9568
62.900000,87,1,326,97,116,116,neutral,0.9337
62.933333,88,1,326,98,115,115,neutral,0.9409
62.966667,89,1,327,100,113,113,neutral,0.9554
63.000000,90,1,327,100,113,113,neutral,0.9495
63.033333,91,1,328,99,112,112,neutral,0.9545
63.066667,92,1,326,99,114,114,neutral,0.9498
63.100000,93,1,326,99,115,115,neutral,0.9621
63.133333,94,1,326,96,119,119,neutral,0.9816
63.166667,95,1,328,95,116,116,neutral,0.9860
63.200000,96,1,328,95,116,116,neutral,0.9843
63.233333,97,1,324,91,122,122,neutral,0.9830
63.266667,98,1,328,94,115,115,neutral,0.9891
63.300000,99,1,330,95,114,114,neutral,0.9926
63.333333,100,1,328,94,115,115,neutral,0.9912
63.366667,101,1,329,93,114,114,neutral,0.9928
63.400000,102,1,329,93,113,113,neutral,0.9918
63.433333,103,1,330,93,113,113,neutral,0.9927
63.466667,104,1,330,92,112,112,neutral,0.9898
63.500000,105,1,330,92,112,112,neutral,0.9899
63.533333,106,1,330,92,112,112,neutral,0.9895
63.566667,107,1,331,92,112,112,neutral,0.9920
63.600000,108,1,331,93,111,111,neutral,0.9915
63.633333,109,1,331,93,111,111,neutral,0.9926
63.666667,110,1,331,93,112,112,neutral,0.9925
63.700000,111,1,330,93,112,112,neutral,0.9907
63.733333,112,1,330,93,112,112,neutral,0.9916
63.766667,113,1,329,93,112,112,neutral,0.9875
63.800000,114,1,330,93,113,113,neutral,0.9880
63.833333,115,1,330,92,113,113,neutral,0.9855
63.866667,116,1,330,92,112,112,neutral,0.9875
63.900000,117,1,329,92,114,114,neutral,0.9866
63.933333,118,1,330,92,115,115,neutral,0.9744
63.966667,119,1,332,92,114,114,neutral,0.5202
64.000000,120,1,333,95,112,112,neutral,0.8285
64.033333,121,1,334,95,112,112,neutral,0.8427
64.066667,122,1,333,96,113,113,neutral,0.7295
64.100000,123,1,333,96,115,115,neutral,0.8281
64.133333,124,1,332,95,116,116,neutral,0.9096
64.166667,125,1,332,95,116,116,neutral,0.9463
64.200000,126,1,332,95,116,116,neutral,0.8750
64.233333,127,1,333,95,116,116,neutral,0.6017
64.266667,128,1,333,95,116,116,neutral,0.8210
64.300000,129,1,333,96,115,115,neutral,0.7336
64.333333,130,1,333,96,115,115,neutral,0.9296
64.366667,131,1,334,96,114,114,neutral,0.9700
64.400000,132,1,334,96,115,115,neutral,0.9674
64.433333,133,1,334,96,115,115,neutral,0.9727
64.466667,134,1,334,96,115,115,neutral,0.9795
64.500000,135,1,332,97,116,116,neutral,0.9703
64.533333,136,1,331,97,117,117,neutral,0.9621
64.566667,137,1,330,96,118,118,neutral,0.9358
64.600000,138,1,328,96,119,119,neutral,0.9621
64.633333,139,1,327,97,119,119,neutral,0.9766
64.666667,140,1,327,98,117,117,neutral,0.9789
64.700000,141,1,327,98,116,116,neutral,0.9759
64.733333,142,1,328,100,114,114,neutral,0.9831
64.766667,143,1,327,100,113,113,neutral,0.9805
64.800000,144,1,327,99,114,114,neutral,0.9833
64.833333,145,1,328,99,113,113,neutral,0.9816
64.866667,146,1,327,98,115,115,neutral,0.9815
64.900000,147,1,327,97,115,115,neutral,0.9556
