timestamp_seconds,frame_idx,face_id,x,y,w,h,yaw,pitch,eye_away,looking_at_camera
60.000000,0,1,303,110,121,121,-8.1,12.1,0.617,0
60.033333,1,1,300,108,124,124,-7.9,11.5,0.602,0
60.066667,2,1,301,107,124,124,-7.5,11.0,0.580,0
60.100000,3,1,301,107,124,124,-7.5,11.0,0.581,0
60.133333,4,1,298,108,125,125,-7.7,11.2,0.621,0
60.166667,5,1,298,107,126,126,-7.5,11.5,0.605,0
60.200000,6,1,298,107,127,127,-7.3,11.3,0.563,0
60.233333,7,1,297,107,127,127,-7.2,11.2,0.553,0
60.266667,8,1,297,107,127,127,-7.2,11.3,0.573,0
60.300000,9,1,297,107,126,126,-7.4,11.4,0.608,0
60.333333,10,1,298,107,125,125,-7.3,11.3,0.609,0
60.366667,11,1,298,108,124,124,-7.3,11.3,0.599,0
60.400000,12,1,298,108,125,125,-7.1,11.2,0.588,0
60.433333,13,1,298,107,126,126,-7.1,10.9,0.614,0
60.466667,14,1,298,108,125,125,-7.2,11.4,0.595,0
60.500000,15,1,297,108,126,126,-7.3,11.3,0.565,0
60.533333,16,1,298,107,126,126,-7.6,10.4,0.577,0
60.566667,17,1,298,108,125,125,-7.5,10.8,0.601,0
60.600000,18,1,297,107,126,126,-7.7,10.6,0.598,0
60.633333,19,1,297,107,125,125,-7.7,10.5,0.611,0
60.666667,20,1,298,108,124,124,-7.8,10.3,0.564,0
60.700000,21,1,299,108,123,123,-8.1,9.9,0.547,0
60.733333,22,1,298,105,125,125,-9.0,9.7,0.574,0
60.766667,23,1,296,104,126,126,-9.4,9.8,0.620,0
60.800000,24,1,296,106,124,124,-10.5,9.8,0.635,0
60.833333,25,1,296,107,123,123,-11.7,10.1,0.661,0
60.866667,26,1,295,107,123,123,-12.5,10.3,0.697,0
60.900000,27,1,295,109,121,121,-13.4,10.0,0.717,0
60.933333,28,1,295,110,121,121,-14.0,9.9,0.734,0
60.966667,29,1,294,108,123,123,-14.5,10.4,0.777,0
61.000000,30,1,296,110,121,121,-15.3,10.9,0.813,0
61.033333,31,1,291,110,124,124,-15.5,11.9,0.799,0
61.066667,32,1,290,110,128,128,-15.6,12.8,0.807,0
61.100000,33,1,289,110,128,128,-15.7,13.5,0.832,0
61.133333,34,1,291,113,125,125,-16.0,13.9,0.787,0
61.166667,35,1,292,114,124,124,-15.9,14.4,0.811,0
61.200000,36,1,291,114,125,125,-16.0,14.7,0.816,0
61.233333,37,1,290,113,125,125,-16.1,15.0,0.832,0
61.266667,38,1,290,113,126,126,-16.1,13.8,0.813,0
61.300000,39,1,290,112,126,126,-16.1,14.0,0.858,0
61.333333,40,1,290,113,125,125,-15.8,13.5,0.807,0
61.366667,41,1,291,114,124,124,-15.6,13.7,0.805,0
61.400000,42,1,291,114,124,124,-15.7,13.8,0.802,0
61.433333,43,1,291,112,124,124,-15.3,12.8,0.805,0
61.466667,44,1,292,112,123,123,-14.8,13.7,0.779,0
61.500000,45,1,293,111,122,122,-14.8,13.0,0.773,0
61.533333,46,1,294,111,120,120,-14.5,12.7,0.778,0
61.566667,47,1,295,112,119,119,-13.6,12.5,0.819,0
61.600000,48,1,298,113,115,115,-12.9,11.1,0.889,0
61.633333,49,1,296,108,118,118,-12.1,10.1,0.891,0
61.666667,50,1,295,105,123,123,-11.2,9.7,0.913,0
61.700000,51,1,297,105,120,120,-9.7,8.4,0.909,0
61.733333,52,1,298,105,120,120,-7.7,7.5,0.924,0
61.766667,53,1,297,101,124,124,-6.7,7.5,0.890,0
61.800000,54,1,298,100,122,122,-5.9,6.9,0.921,0
61.833333,55,1,299,101,123,123,-5.3,6.5,0.910,0
61.866667,56,1,304,103,120,120,-4.4,6.8,0.900,0
61.900000,57,1,306,103,118,118,-3.8,6.7,0.870,0
61.933333,58,1,305,101,120,120,-3.2,6.0,0.791,0
61.966667,59,1,304,99,122,122,-2.8,5.0,0.807,0
62.000000,60,1,308,93,120,120,-2.6,2.8,0.779,0
62.033333,61,1,308,94,119,119,-2.7,2.8,0.785,0
62.066667,62,1,310,92,119,119,-2.1,2.3,0.807,0
62.100000,63,1,313,95,114,114,-1.8,1.6,0.775,0
62.133333,64,1,315,95,113,113,-1.6,1.5,0.786,0
62.166667,65,1,314,94,113,113,-1.8,1.3,0.769,0
62.200000,66,1,313,93,115,115,-1.7,1.4,0.747,0
62.233333,67,1,313,92,116,116,-1.7,1.2,0.780,0
62.266667,68,1,315,93,115,115,-2.0,1.4,0.760,0
62.300000,69,1,316,93,116,116,-2.0,1.4,0.759,0
62.333333,70,1,316,96,115,115,-2.2,1.3,0.763,0
62.366667,71,1,315,97,116,116,-2.5,2.2,0.769,0
62.400000,72,1,315,99,115,115,-2.8,3.0,0.739,0
62.433333,73,1,316,101,113,113,-2.3,3.9,0.776,0
62.466667,74,1,315,98,117,117,-2.6,5.8,0.651,0
62.500000,75,1,317,101,114,114,-2.4,6.8,0.738,0
62.533333,76,1,321,104,110,110,-2.0,7.2,0.743,0
62.566667,77,1,323,105,108,108,-1.8,7.5,0.755,0
62.600000,78,1,324,104,108,108,-1.9,6.7,0.725,0
62.633333,79,1,325,105,107,107,-1.8,6.5,0.767,0
62.666667,80,1,324,103,109,109,-1.9,6.1,0.729,0
62.700000,81,1,326,103,109,109,-1.8,5.9,0.746,0
62.733333,82,1,326,102,110,110,-1.7,5.7,0.665,0
62.766667,83,1,325,100,113,113,-1.5,5.3,0.665,0
62.800000,84,1,326,99,114,114,-1.7,5.1,0.635,0
62.833333,85,1,325,99,115,115,-2.0,5.1,0.554,0
62.866667,86,1,326,98,116,116,-1.7,5.0,0.707,0
62.900000,87,1,326,97,116,116,-1.9,5.0,0.772,0
62.933333,88,1,326,98,115,115,-1.8,5.0,0.812,0
62.966667,89,1,327,100,113,113,-1.8,5.1,0.814,0
63.000000,90,1,327,100,113,113,-1.6,4.8,0.826,0
63.033333,91,1,328,99,112,112,-1.6,4.4,0.801,0
63.066667,92,1,326,99,114,114,-2.0,4.3,0.738,0
63.100000,93,1,326,99,115,115,-2.3,3.5,0.573,0
63.133333,94,1,326,96,119,119,-1.8,3.4,0.437,0
63.166667,95,1,328,95,116,116,-1.5,2.3,0.313,0
63.200000,96,1,328,95,116,116,-1.4,1.7,0.283,1
63.233333,97,1,324,91,122,122,-1.4,0.0,0.293,1
63.266667,98,1,328,94,115,115,-1.4,-1.0,0.306,0
63.300000,99,1,330,95,114,114,-1.0,-2.2,0.353,0
63.333333,100,1,328,94,115,115,-1.1,-3.0,0.319,0
63.366667,101,1,329,93,114,114,-1.1,-3.3,0.273,1
63.400000,102,1,329,93,113,113,-1.1,-4.2,0.307,0
63.433333,103,1,330,93,113,113,-0.9,-4.1,0.272,1
63.466667,104,1,330,92,112,112,-0.7,-4.3,0.297,1
63.500000,105,1,330,92,112,112,-0.5,-4.7,0.290,1
63.533333,106,1,330,92,112,112,-0.2,-5.1,0.278,1
63.566667,107,1,331,92,112,112,-0.1,-5.0,0.245,1
63.600000,108,1,331,93,111,111,-0.0,-5.1,0.291,1
63.633333,109,1,331,93,111,111,0.2,-5.1,0.271,1
63.666667,110,1,331,93,112,112,0.7,-4.9,0.287,1
63.700000,111,1,330,93,112,112,0.8,-4.8,0.294,1
63.733333,112,1,330,93,112,112,0.9,-4.9,0.321,0
63.766667,113,1,329,93,112,112,0.9,-4.5,0.340,0
