start_seconds,end_seconds,word,probability,word_gap
60.000,60.300,process,0.0646,0.000
60.300,60.600,is,0.7146,0.000
60.600,60.820,the,0.9670,0.000
60.820,61.180,same,0.9926,0.000
61.180,61.860,these,0.1353,0.000
61.860,62.060,are,0.9862,0.000
62.060,62.340,my,0.9663,0.000
62.340,62.700,particular,0.9465,0.000
62.700,63.220,ones,0.9666,0.000
63.220,63.500,that,0.8032,0.000
63.500,64.040,I,0.9230,0.000
64.040,64.260,go,0.9926,0.000
64.260,64.580,through,0.9928,0.000
64.580,65.240,and,0.8633,0.000
65.240,65.380,the,0.9902,0.000
65.380,65.540,things,0.9946,0.000
65.540,65.720,that,0.9345,0.000
65.720,65.960,stand,0.9944,0.000
65.960,66.160,out,0.9950,0.000
66.160,66.360,to,0.9961,0.000
66.360,66.740,me,0.9960,0.000
66.740,69.320,as,0.7703,0.000
69.320,69.680,one,0.8426,0.000
69.680,69.820,of,0.9973,0.000
69.820,70.220,the,0.9923,0.000
70.220,70.760,the,0.3699,0.000
70.760,70.980,key,0.9952,0.000
70.980,71.280,members,0.9745,0.000
71.280,71.580,of,0.9985,0.000
71.580,71.780,my,0.9985,0.000
71.780,72.220,company,0.9918,0.000
72.220,72.940,so,0.6322,0.000
72.940,73.580,you,0.9143,0.000
73.580,73.980,know,0.9963,0.000
73.980,74.260,I,0.9450,0.000
74.260,74.480,just,0.9973,0.000
74.480,74.760,wanted,0.9089,0.000
74.760,74.980,to,0.9927,0.000
74.980,75.200,kind,0.9571,0.000
75.200,75.320,of,0.9983,0.000
75.320,75.460,let,0.9971,0.000
75.460,75.640,that,0.9848,0.000
75.640,75.960,know,0.9918,0.000
75.960,76.580,the,0.9300,0.000
76.580,76.860,things,0.9970,0.000
76.860,77.100,may,0.5085,0.000
77.100,77.260,be,0.9955,0.000
77.260,77.840,changed,0.9446,0.000
77.840,78.320,as,0.4113,0.000
78.320,80.000,far,0.9917,0.000
80.000,80.600,as,0.9989,0.000
80.600,81.280,how,0.9864,0.000
81.280,82.720,the,0.9829,0.000
82.720,83.380,interview,0.9437,0.000
83.380,83.800,process,0.9977,0.000
83.800,84.280,goes,0.9944,0.000
84.280,85.100,but,0.9195,0.000
85.100,85.820,you,0.9880,0.000
85.820,85.940,know,0.9571,0.000
85.940,86.140,you,0.9919,0.000
86.140,86.340,can,0.9964,0.000
86.340,86.560,pretty,0.9980,0.000
86.560,86.840,much,0.9998,0.000
86.840,87.100,bet,0.9687,0.000
87.100,87.380,that,0.9976,0.000
87.380,87.940,this,0.5478,0.000
87.940,88.600,video,0.9880,0.000
88.600,88.900,right,0.9736,0.000
88.900,89.260,here,0.9977,0.000
89.260,89.420,is,0.9677,0.000
89.420,89.580,going,0.6559,0.000
89.580,89.740,to,0.9851,0.000
89.740,89.900,teach,0.9533,0.000
